year,state,state_postal,state_fips,state_icpsr,county_name,county_fips,county_ansi,jurisdiction,precinct,candidate,candidate_normalized,office,district,writein,party,mode,votes,,21001D104
2016,Kentucky,KY,21,51,Adair County,21001,516847,Adair,D104,Hillary Clinton,clinton,US President,statewide,FALSE,,in person,103,,21001D104
2016,Kentucky,KY,21,51,Adair County,21001,516847,Adair,D104,Rocky De La Fuente,fuente,US President,statewide,FALSE,,in person,0,,21001D104
2016,Kentucky,KY,21,51,Adair County,21001,516847,Adair,D104,Gary Johnson,johnson,US President,statewide,FALSE,,in person,5,,21001D104
2016,Kentucky,KY,21,51,Adair County,21001,516847,Adair,D104,Jill Stein,stein,US President,statewide,FALSE,,in person,3,,21001D104
2016,Kentucky,KY,21,51,Adair County,21001,516847,Adair,D104,Donald Trump,trump,US President,statewide,FALSE,,in person,275,,21001D104
2016,Kentucky,KY,21,51,Adair County,21001,516847,Adair,D104,Evan McMullin,mcmullin,US President,statewide,FALSE,,in person,1,,21001D104
2016,Kentucky,KY,21,51,Adair County,21001,516847,Adair,C104,Hillary Clinton,clinton,US President,statewide,FALSE,,in person,88,,21001C104
2016,Kentucky,KY,21,51,Adair County,21001,516847,Adair,C104,Rocky De La Fuente,fuente,US President,statewide,FALSE,,in person,0,,21001C104
2016,Kentucky,KY,21,51,Adair County,21001,516847,Adair,C104,Gary Johnson,johnson,US President,statewide,FALSE,,in person,8,,21001C104
2016,Kentucky,KY,21,51,Adair County,21001,516847,Adair,C104,Jill Stein,stein,US President,statewide,FALSE,,in person,5,,21001C104
2016,Kentucky,KY,21,51,Adair County,21001,516847,Adair,C104,Donald Trump,trump,US President,statewide,FALSE,,in person,456,,21001C104
2016,Kentucky,KY,21,51,Adair County,21001,516847,Adair,C104,Evan McMullin,mcmullin,US President,statewide,FALSE,,in person,11,,21001C104
2016,Kentucky,KY,21,51,Adair County,21001,516847,Adair,A105,Hillary Clinton,clinton,US President,statewide,FALSE,,in person,30,,21001A105
2016,Kentucky,KY,21,51,Adair County,21001,516847,Adair,A105,Rocky De La Fuente,fuente,US President,statewide,FALSE,,in person,1,,21001A105
2016,Kentucky,KY,21,51,Adair County,21001,516847,Adair,A105,Gary Johnson,johnson,US President,statewide,FALSE,,in person,2,,21001A105
2016,Kentucky,KY,21,51,Adair County,21001,516847,Adair,A105,Jill Stein,stein,US President,statewide,FALSE,,in person,0,,21001A105
2016,Kentucky,KY,21,51,Adair County,21001,516847,Adair,A105,Donald Trump,trump,US President,statewide,FALSE,,in person,288,,21001A105
2016,Kentucky,KY,21,51,Adair County,21001,516847,Adair,A105,Evan McMullin,mcmullin,US President,statewide,FALSE,,in person,2,,21001A105
2016,Kentucky,KY,21,51,Adair County,21001,516847,Adair,C102,Hillary Clinton,clinton,US President,statewide,FALSE,,in person,89,,21001C102
